"AY","ID","TOTAL_AID","TOTAL_FED_AID","TOTAL_STATE_AID","TOTAL_NONFED_STATE_AID","ZELL_RECIPIENT","HOPE_RECIPIENT","TOTAL_FED_LOAN","TOTAL_ST_LOAN","TOTAL_ALT_LOAN","TOTAL_NON_SELF_HELP_AID","RESOURCES","AWARD_BUDGET","AWARD_EFC","NEED","PRIMARY_EFC","UNMET_NEED","REMAINING_NEED","Rural_vs_Urban","FAFSA_ON_FILE","ISIR_FIRST_GEN","PARS_AGI","PARS_CASH_SAVINGS_CHECKING","PARS_INV_NET_WORTH","PARS_BUSINESS_INV_FARM","RCRAPP3_PAR_TAX_DEF_PENSION","RCRAPP3_PAR_IRA_KEOUGH","RCRAPP1_PAR_CHILD_SUPP","RCRAPP3_PAR_TE_INT_INC","RCRAPP1_PAR_IRA_DISTRIBUTIONS","RCRAPP1_PAR_UNTAX_PENSIONS","RCRAPP3_PAR_HOUSE_FOOD_OTH","RCRAPP1_PAR_VETS_NON_ED_BEN","RCRAPP1_PAR_OTH_UNTAX_INC","RCRAPP3_TAX_DEF_PENSION","RCRAPP4_IRA_KEOGH_AMT","RCRAPP1_CHILD_SUPP","RCRAPP3_TE_INT_INC","RCRAPP1_IRA_DISTRIBUTIONS","RCRAPP1_UNTAX_PENSIONS","RCRAPP3_HOUSE_FOOD_OTH","RCRAPP1_VETS_NON_ED_BEN","RCRAPP1_OTH_UNTAX_INC","RCRAPP1_OTH_NON_REPORT_MONEY","STUS_AGI","STUS_CASH_SAVINGS_CHECK","STUS_INV_NET_WORTH","STUS_BUSINESS_INV_FARM","PELL_GRANT_ELIGIBILITY_FLAG","AUTOMATIC_ZERO_EFC_INDICATOR","SIMPLIFIED_NEEDS_TEST_SNT","BLACK_OR_AFRICAN_AMERICAN","AMERICAN_INDIAN_ALASKA_NATIVE","ASIAN_INC_INDIAN_SUBCONT","NATIVE_HAWAIIAN_PACIFIC_ISL","WHITE_INC_MIDDLE_EASTERN","NO_RESPONSE","MINORITY","level","DEPARTMENT","COLLEGE","FALL_HOURS_REGISTRAR","SPRING_HOURS_REGISTRAR","SUMMER_HOURS_REGISTRAR","ENROLLED_IN_AY_REGISTRAR","ADMISSIONS_MATRIC_TERM","ADMISSIONS_STUDENT_TYPE","ADMISSIONS_APPLICATION_TYPE","DEPENDENCY_STATUS","FAMILY_AGI","FAMILY_CASH_SAVINGS_CHECK","FAMILY_INV_NET_WORTH","FAMILY_BUSINESS_INV_FARM","FAMILY_UNTAXED_INCOME","GRADUATED","GRADUATED_IN_FOUR","LOST_HOPE_ZELL","FLAGGED_SAP","ENROLLED_LAST_TERM"
"1415","",8780,2000,6780,0,"zell_n","hope_y",2000,0,0,6780,0,22746,9872,12874,9872,"6094","4094","Mostly Rural","fafsa_y","1stgen_n",64823,20000,144450,8215,0,0,0,0,0,0,0,0,1702,0,0,0,0,0,0,0,0,0,0,1376,75,0,0,"pell_elig_n","auto_zero_n","snt_n",,,1,,,,"minority_y","Undergrad","Psychology","College of Arts and Sciences",15,11,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",66199,20075,144450,8215,1702,"graduated_y","grad_in_four_y","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_n"
"1415","",8590,0,8590,0,"zell_y","hope_n",0,0,0,8590,0,22680,8466,14214,8466,"5624","5624","Mostly Urban","fafsa_y","1stgen_n",113558,3300,0,0,7200,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,0,0,0,"pell_elig_n","auto_zero_n","snt_n",1,,,,,,"minority_y","Undergrad","Entomology","College of Agr and Env Science",15,15,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",113558,3300,0,0,7200,"graduated_y","grad_in_four_y","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_n"
"1415","",20820,12230,8590,0,"zell_y","hope_n",6500,0,0,14320,0,26925,0,26925,0,"12605","6105","Mostly Rural","fafsa_y","1stgen_y",,50,0,0,0,,0,,,,0,0,4000,0,,0,,,,0,0,0,0,,300,0,0,"pell_elig_y","auto_zero_y","snt_y",,,,,1,,"minority_n","Undergrad","Marketing","College of Business",12,9,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",0,350,0,0,4000,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",9780,0,6780,3000,"zell_n","hope_y",0,0,0,9780,0,21250,18649,2601,18649,"0","0","Mostly Urban","fafsa_y","1stgen_n",93700,5000,850000,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,0,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Finance","College of Business",11,10,0,"enrolleday_y","201408","Freshman","Deferred ""EA"" Applicant","D",93700,5000,850000,0,0,"graduated_y","grad_in_four_n","lost_hope_zell_y","flagged_sap_y","enrolled_last_term_n"
"1415","",21970,3380,8590,10000,"zell_y","hope_n",0,0,0,21970,0,22680,2395,20285,2395,"0","0","Mostly Rural","fafsa_y","1stgen_n",44859,1000,5000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4749,250,0,0,"pell_elig_y","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Finance","College of Business",15,15,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",49608,1250,5000,0,10000,"graduated_y","grad_in_four_y","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_n"
"1415","",8590,0,8590,0,"zell_y","hope_n",0,0,0,8590,0,23172,4678,18494,4678,"9904","9904","Mostly Urban","fafsa_y","1stgen_n",50000,4000,200000,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,41,0,0,"pell_elig_y","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Chemistry","College of Arts and Sciences",14,14,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",50000,4041,200000,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",22005,12415,8590,1000,"zell_y","hope_n",3426,0,0,16320,0,22746,0,22746,0,"6426","741","Mostly Urban","fafsa_y","1stgen_n",8626,2000,130000,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,0,0,0,"pell_elig_y","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","School of Accounting","College of Business",12,12,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",8626,2000,130000,0,0,"graduated_n","grad_in_four_n","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_y"
"1415","",19674,7500,5424,6750,"zell_n","hope_y",7500,0,0,12174,0,21316,17334,3982,17334,"0","0","Mostly Urban","fafsa_y","1stgen_y",101393,200,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9293,100,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Educational Theory and Pract","College of Education",12,12,0,"enrolleday_y","201408","Transfer","Transfer Applicant","D",110686,300,7500,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",5876,0,5876,0,"zell_n","hope_y",0,0,0,5876,0,22680,53386,0,53386,"0","0","Mostly Urban","fafsa_y","1stgen_n",45541,35000,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10494,12128,6000,15000,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Management Information Systems","College of Business",13,13,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",57669,41000,715000,0,10494,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",13396,5500,5650,0,"zell_n","hope_y",5500,0,0,7896,0,22746,70454,0,70454,"0","0","Mostly Urban","fafsa_y","1stgen_n",265516,10000,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,0,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_y","Undergrad","Psychology","College of Arts and Sciences",12,13,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",265516,10000,0,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_n"
